title,year,authors,citations,abstract
Agentic AI: Autonomous Intelligence for Complex Goals—A Comprehensive Survey,2025,"D. Acharya, Karthigeyan Kuppan, Divya Bhaskaracharya",422,"Agentic AI, an emerging paradigm in artificial intelligence, refers to autonomous systems designed to pursue complex goals with minimal human intervention. Unlike traditional AI, which depends on stru"
Small Language Models are the Future of Agentic AI,2025,"Peter Belcák, Greg Heinrich, Shizhe Diao",220,Large language models (LLMs) are often praised for exhibiting near-human performance on a wide range of tasks and valued for their ability to hold a general conversation. The rise of agentic AI system
"AI Agents vs. Agentic AI: A Conceptual Taxonomy, Applications and Challenges",2025,"Ranjan Sapkota, Konstantinos I. Roumeliotis, Manoj Karkee",279,"This review critically distinguishes between AI Agents and Agentic AI, offering a structured, conceptual taxonomy, application mapping, and analysis of opportunities and challenges to clarify their di"
"Agentic AI for Scientific Discovery: A Survey of Progress, Challenges, and Future Directions",2025,"Mourad Gridach, Jay Nanavati, Khaldoun Zine El Abidine",73,"The integration of Agentic AI into scientific discovery marks a new frontier in research automation. These AI systems, capable of reasoning, planning, and autonomous decision-making, are transforming "
"The Rise of Agentic AI: A Review of Definitions, Frameworks, Architectures, Applications, Evaluation Metrics, and Challenges",2025,"Ajay Bandi, Bhavani Kongari, Roshini Naguru",62,"Agentic AI systems are a recently emerged and important approach that goes beyond traditional AI, generative AI, and autonomous systems by focusing on autonomy, adaptability, and goal-driven reasoning"
"Generative to Agentic AI: Survey, Conceptualization, and Challenges",2025,Johannes Schneider,58,Agentic Artificial Intelligence (AI) builds upon Generative AI (GenAI). It constitutes the next major step in the evolution of AI with much stronger reasoning and interaction capabilities that enable 
"TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems",2025,"Shaina Raza, Ranjan Sapkota, Manoj Karkee",52,"Agentic AI systems, built upon large language models (LLMs) and deployed in multi-agent configurations, are redefining intelligence, autonomy, collaboration, and decision-making across enterprise and "
Building A Secure Agentic AI Application Leveraging Google’s A2A Protocol,2025,"I. Habler, Ken Huang, Vineeth Sai Narajala",42,"As Agentic AI systems evolve from basic workflows to complex multi-agent collaboration, robust protocols such as Google’s Agent2Agent (A2A) become essential enablers. To foster secure adoption and ens"
Towards Agentic AI Networking in 6G: A Generative Foundation Model-as-Agent Approach,2025,"Yong Xiao, Guangming Shi, Ping Zhang",29,The promising potential of AI and network convergence in improving networking performance and enabling new service capabilities has recently attracted significant interest. Existing network AI solutio
Visual Agentic AI for Spatial Reasoning with a Dynamic API,2025,"Damiano Marsili, Rohun Agrawal, Yisong Yue",36,Visual reasoning – the ability to interpret the visual world–is crucial for embodied agents that operate within three-dimensional scenes. Progress in AI has led to vision and language models capable o
