title,year,authors,citations,abstract
Artificial Intelligence in Cybersecurity,2025,Rushi Bhayani,99,"Artificial Intelligence (AI) is radically reshaping cybersecurity by enabling data-driven threat analysis and response
capabilities that far surpass traditional, signature-based methods. Machine learn"
When LLMs meet cybersecurity: a systematic literature review,2024,"Jie Zhang, Haoyu Bu, Hui Wen",207,"The rapid development of large language models (LLMs) has opened new avenues across various fields, including cybersecurity, which faces an evolving threat landscape and demand for innovative technolo"
Artificial Intelligence-Based Cybersecurity for the Metaverse: Research Challenges and Opportunities,2025,"Abeer Awadallah, K. Eledlebi, Mohammed Jamal Zemerly",35,"The metaverse, known as the next-generation 3D Internet, represents virtual environments that mirror the physical world. It is supported by innovative technologies such as digital twins and extended r"
Analyzing Cybersecurity Risks and Threats in IT Infrastructure based on NIST Framework,2025,"Osama Aljumaiah, Weiwei Jiang, Santosh Reddy Addula",48,"Due to the increasing frequency and complexity of cyberattacks in recent years, cybersecurity management has received significant attention, particularly concerning the critical infrastructure of targ"
From Vulnerability to Defense: The Role of Large Language Models in Enhancing Cybersecurity,2025,"Wafaa Kasri, Yassine Himeur, H. Alkhazaleh",46,"The escalating complexity of cyber threats, coupled with the rapid evolution of digital landscapes, poses significant challenges to traditional cybersecurity mechanisms. This review explores the trans"
Advancing cybersecurity: a comprehensive review of AI-driven detection techniques,2024,"Aya H. Salem, Safaa M. Azzam, O. Emam",183,"As the number and cleverness of cyber-attacks keep increasing rapidly, it's more important than ever to have good ways to detect and prevent them. Recognizing cyber threats quickly and accurately is c"
"Cybersecurity of Satellite Communications Systems: A Comprehensive Survey of the Space, Ground, and Links Segments",2025,"Sara Salim, Nour Moustafa, M. Reisslein",61,"Satellite communications (Satcoms) systems have become an integral part of modern society, providing critical infrastructure for a wide range of applications. However, as the reliance on Satcoms has i"
A Survey on Cybersecurity in IoT,2025,"Elias Dritsas, M. Trigka",44,"The proliferation of the Internet of Things (IoT) has transformed the digital landscape, enabling a vast array of interconnected devices to communicate and share data seamlessly. However, the rapid ex"
Machine Learning for Cybersecurity Issues : A systematic Review,2025,"Aseel Alshuaibi, Mohammed Almaayah, Aitizaz Ali",42,"With growing of the usage of the Information technologies and social networks, the identification of different network attacks, especially those not previously discovered, is an important concern that"
Integrating sustainability into cybersecurity: insights from machine learning based topic modeling,2025,"K. Achuthan, S. Sankaran, Swapnoneel Roy",38,"The increasing emphasis on sustainability in computing systems, ranging from small devices to large data centers, is fueled by environmental concerns. Moreover, ensuring cybersecurity in these interco"
Human factors in cybersecurity: an interdisciplinary review and framework proposal,2025,"Kalam Khadka, Abu Barkat Ullah",33,"Cybersecurity has traditionally been viewed as a technological challenge, but growing evidence emphasizes the pivotal role of human factors in shaping both vulnerabilities and resilience. This survey "
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,2023,"Maanak Gupta, Charankumar Akiri, Kshitiz Aryal",592,"Undoubtedly, the evolution of Generative AI (GenAI) models has been the highlight of digital transformation in the year 2022. As the different GenAI models like ChatGPT and Google Bard continue to fos"
The Role of AI in Cybersecurity: Addressing Threats in the Digital Age,2024,Nicolas Guzman Camacho,104,"In the contemporary digital landscape, cybersecurity stands as a paramount concern due to the increasing sophistication and frequency of cyber threats. Artificial Intelligence (AI) has emerged as a po"
CyberMetric: A Benchmark Dataset based on Retrieval-Augmented Generation for Evaluating LLMs in Cybersecurity Knowledge,2024,"N. Tihanyi, M. Ferrag, Ridhi Jain",92,"Large Language Models (LLMs) are increasingly used across various domains, from software development to cyber threat intelligence. Understanding all the different cybersecurity fields, including topic"
Machine learning in cybersecurity: A review of threat detection and defense mechanisms,2024,"T. Abrahams, U. Okoli, Ogugua Chimezie Obi",96,"The cybersecurity concerns get increasingly intricate as the digital world progresses. In light of the increasing complexity of cyber threats, it is imperative to develop and implement advanced and fl"
Large Language Models in Cybersecurity: State-of-the-Art,2024,"Farzad Nourmohammadzadeh Motlagh, Mehrdad Hajizadeh, Mehryar Majd",105,"The rise of Large Language Models (LLMs) has revolutionized our comprehension of intelligence bringing us closer to Artificial Intelligence. Since their introduction, researchers have actively explore"
