title,year,authors,citations,abstract
The Cost-Effectiveness of Rivaroxaban Plus Aspirin Compared with Aspirin Alone in the COMPASS Trial: A US Perspective,2023,"Andre Lamy, J. Eikelboom, W. Tong",7,"Background Rivaroxaban 2.5 mg twice daily with aspirin 100 mg daily was shown to be better than aspirin 100 mg daily for preventing cardiovascular (CV) death, stroke or myocardial infarction in patien"
The protective effect of Bifidobacterium bifidum G9-1 against mucus degradation by Akkermansia muciniphila following small intestine injury caused by a proton pump inhibitor and aspirin,2020,"Tsutomu Yoshihara, Yosuke Oikawa, Takayuki Kato",52,"ABSTRACT Background Proton pump inhibitors (PPIs) can alleviate upper gastrointestinal injury but paradoxically exacerbate aspirin (ASA)-induced small intestine injury. In this study, our goal was to "
Association of Pre-existing Hypertension to The Development of Superimposed Preeclamsia,2026,"Eleanor M F. Richards, E. V. Souza, Andi Muh",0,"Introduction: Superimposed preeclampsia (SPE), the development of preeclampsia in women with pre-existing chronic hypertension (CH), represents a high-risk obstetric condition associated with signific"
Abstract 4142422: Heart of the Mystery: Unveiling PFO's Role in Cryptogenic Stroke During Pregnancy,2024,"Zohaib Bagha, Zohair Ali, Sean R Wilson",0,"
 Background:
 Patent Foramen Ovale (PFO) is a common cardiac anomaly that persists into adulthood in approximately 25% of the population. Although often clinically silent, PFOs can lead to complicati"
"Thrombosis and Aspirin: Clinical Aspect, Aspirin in Cardiology, Aspirin in Neurology, and Pharmacology of Aspirin",2012,C. Doutremépuich,2,"Acetyl salicylic acid or aspirin is one of the most famous drugs in the world. Aspirin has been increasingly used for prevention of cardiovascular events and is, particularly in recent decades, the mo"
Cardioembolic stroke: everything has changed,2018,"J. David, P. J. D. Spence",49,"Historically, because of the difficulty of using warfarin safely and effectively, many patients with cardioembolic stroke who should have been anticoagulated were instead given ineffective antiplatele"
Anticoagulation in patients with Embolic Stroke of Unknown Source,2019,J. Spence,11,"When warfarin was the mainstay of anticoagulation for the prevention of cardioembolic stroke, the paradigm was essentially “we mustn’t anticoagulate anyone unless we prove that the stroke was cardioem"
Advances in Stroke Prevention,2018,J. David Spence,11,"Abstract There have been recent advances in stroke prevention in nutrition, blood pressure control, antiplatelet therapy, anticoagulation, identification of high-risk asymptomatic carotid stenosis, an"
Platelet Dysfunction in Type 1 Diabetes: Stressing the Thromboxanes,2016,"Jaclyn A Wisinski, M. Kimple",12,"Overall death from cardiovascular disease (CVD) has declined over the past 20 years; yet, the population with diabetes has seen minimal benefit (1,2). When broken out by diabetes type, individuals wit"
A toe ulcer in a patient with essential thrombocythemia successfully treated with a combination of anagrelide and prednisolone,2021,"T. Sugai, Yasuyuki Yamaguchi, A. Narahira",1,Dear Editor Essential thrombocythemia (ET) is a chronic myeloproliferative disorder characterized by sustained thrombocytosis derived from increased megakaryocyte production. The main cutaneous manife
Dabigatran Effect on Left Ventricular Thrombus in a Patient with Acute Ischemic Stroke,2015,"Kyuyoon Chung, Y. Paek, Hye Jung Lee",19,"Dear Sir: 
 
Anticoagulation in acute ischemic stroke (AIS) is not generally recommended because of the risk of intracranial bleeding. However, patients with AIS who have concurrent left ventricular ("
Effect of genotype-guided strategy in East Asian vs. Caucasian patients after percutaneous coronary intervention: insight from the TAILOR-PCI trial,2020,"Hyun Kuk Kim, D. Sibbing, Y. Jeong",2,"J Thorac Dis 2020;12(12):7501-7503 | http://dx.doi.org/10.21037/jtd-20-3066 In patients undergoing percutaneous coronary intervention (PCI), dual antiplatelet therapy (DAPT) with aspirin and P2Y12 rec"
Is Embolic Stroke of Undetermined Source Shrinking?,2019,"D. Tirschwell, Breana L. Taylor",2,Embolic stroke of undetermined source (ESUS) has been a hot topic in stroke prevention research since the term was introduced in 2014. The term refers to nonlacunar cryptogenic ischemic strokes that a
Hepatocellular carcinoma chemoprevention in chronic hepatitis B patients: all-in on statins?,2020,"J. Ursic‐Bedoya, B. Guiu",0,"HepatoBiliary Surg Nutr 2020;9(5):676-678 | http://dx.doi.org/10.21037/hbsn.2020.03.06 Chronic hepatitis B (CHB) affects approximately 257 million individuals worldwide, the highest prevalence being i"
Search for a Panacea Continues.,2018,"B. Menon, J. Putaala",0,"Medicine has always searched for a panacea—a drug that can cure everything. The closest medicine has ever gotten to such a construct is, arguably, with aspirin. In patients with ischemic stroke, aspir"
There is more to preventing stroke after carotid surgery than shunt and patch debates.,2005,A. Naylor,7,"Summary Despite level I evidence that carotid endarterectomy (CEA) confers significant benefit over ‘best medical therapy’, the paradox remains that the very operation undertaken to prevent stroke (in"
"Erythromelalgic Microvascular Disturbances, Major Thrombosis and Hemorrhagic Manifestations of Thrombocythemia in Patients with Essential Thrombocythemia and Polycythemia Vera: Therapeutic Implications",2014,J. Michiels,2,Aspirin responsive erythromelalgia is the presenting symptom of thrombocythemia in patients with essential thrombocythemia (ET) and polycythemia vera (PV). Skin punch biopsies taken from the affected 
Acute Stent Thrombosis and Heparin Induced Thrombocytopenia: Another Manifestation of Kounis Syndrome?,2013,"N. Kounis, G. Soufras, G. Almpanis",2,"Refer to the page 646-649 
 
Stent thrombosis is regarded today as a multifactorial life threatening condition. Immunological evidence incriminating antigens, such as stent nickel, metal strut, polyme"
Antiplatelet agents for prevention of pre-eclampsia and its consequences: a systematic review and individual patient data meta-analysis,2005,"The Perinatal Antiplatelet Review of International Stu Collaboration, The Paris Collaboration",12,"BackgroundThere is now good evidence that antiplatelet agents (principally low dose aspirin) prevent pre-eclampsia, a leading cause of morbidity and mortality for pregnant women and their babies. A Co"
