title,year,authors,citations,abstract
"AMSTAR 2: a critical appraisal tool for systematic reviews that include randomised or non-randomised studies of healthcare interventions, or both",2017,"B. Shea, Barnaby C. Reeves, George Wells",8583,The number of published systematic reviews of studies of healthcare interventions has increased rapidly and these are used extensively for clinical and policy decisions. Systematic reviews are subject
"ChatGPT Utility in Healthcare Education, Research, and Practice: Systematic Review on the Promising Perspectives and Valid Concerns",2023,Malik Sallam,2361,"ChatGPT is an artificial intelligence (AI)-based conversational large language model (LLM). The potential applications of LLMs in health care education, research, and practice could be promising if th"
"Prevalence of depression, anxiety, and insomnia among healthcare workers during the COVID-19 pandemic: A systematic review and meta-analysis",2020,"S. Pappa, Vasiliki Ntella, Timoleon Giannakas",3193,Highlights • At least one in five healthcare professionals report symptoms of depression and anxiety.• Almost four in ten healthcare workers experience sleeping difficulties and/or insomnia.• Rates of
Revolutionizing healthcare: the role of artificial intelligence in clinical practice,2023,"Shuroug A. Alowais, S. Alghamdi, N. Alsuhebany",2056,"Introduction Healthcare systems are complex and challenging for all stakeholders, but artificial intelligence (AI) has transformed various fields, including healthcare, with the potential to improve p"
Understanding Psychosocial Barriers to Healthcare Technology Adoption: A Review of TAM Technology Acceptance Model and Unified Theory of Acceptance and Use of Technology and UTAUT Frameworks,2025,"Ann Thong Lee, R. Ramasamy, Anusuyah Subbarao",129,"Background: Leveraging healthcare technology improves human development and well-being. However, adoption is frequently delayed by behavioural and psychological barriers, such as perceived usefulness,"
"A Review of Large Language Models in Medical Education, Clinical Decision Support, and Healthcare Administration",2025,"J. Vrdoljak, Zvonimir Boban, Marino Vilović",103,"Background/Objectives: Large language models (LLMs) have shown significant potential to transform various aspects of healthcare. This review aims to explore the current applications, challenges, and f"
"Artificial intelligence in healthcare: past, present and future",2017,"F. Jiang, Yong Jiang, Hui Zhi",3488,"Artificial intelligence (AI) aims to mimic human cognitive functions. It is bringing a paradigm shift to healthcare, powered by increasing availability of healthcare data and rapid progress of analyti"
The potential for artificial intelligence in healthcare,2019,"T. Davenport, R. Kalakota",2690,ABSTRACT The complexity and rise of data in healthcare means that artificial intelligence (AI) will increasingly be applied within the field. Several types of AI are already being employed by payers a
Acceptability of healthcare interventions: an overview of reviews and development of a theoretical framework,2017,"M. Sekhon, M. Cartwright, J. Francis",2900,"BackgroundIt is increasingly acknowledged that ‘acceptability’ should be considered when designing, evaluating and implementing healthcare interventions. However, the published literature offers littl"
"Transformative Potential of AI in Healthcare: Definitions, Applications, and Navigating the Ethical Landscape and Public Perspectives",2024,"Molly Bekbolatova, Jonathan Mayer, Chiwei Ong",275,Artificial intelligence (AI) has emerged as a crucial tool in healthcare with the primary aim of improving patient outcomes and optimizing healthcare delivery. By harnessing machine learning algorithm
